session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
6aqdl09i,1,p1ep1wgv,0,,InitializeParticipant,1695993494,1,0,0
6aqdl09i,1,p1ep1wgv,1,pilot3,Welcome,1695993508,1,0,0
6aqdl09i,1,p1ep1wgv,2,pilot3,Consent,1695993515,1,0,0
6aqdl09i,1,p1ep1wgv,3,pilot3,Instructions,1695993603,1,0,0
6aqdl09i,2,nio5uo5j,0,,InitializeParticipant,1695993625,1,0,0
6aqdl09i,1,p1ep1wgv,4,pilot3,UnderstandingQuestions,1695993636,1,0,0
6aqdl09i,1,p1ep1wgv,5,pilot3,TransitionDemandElicitation0,1695993637,1,0,0
6aqdl09i,2,nio5uo5j,1,pilot3,Welcome,1695993639,1,0,0
6aqdl09i,2,nio5uo5j,2,pilot3,Consent,1695993644,1,0,0
6aqdl09i,2,nio5uo5j,3,pilot3,Instructions,1695993728,1,0,0
6aqdl09i,3,i8rightg,0,,InitializeParticipant,1695993788,1,0,0
6aqdl09i,2,nio5uo5j,4,pilot3,UnderstandingQuestions,1695993794,1,0,0
6aqdl09i,2,nio5uo5j,5,pilot3,TransitionDemandElicitation0,1695993798,1,0,0
6aqdl09i,3,i8rightg,1,pilot3,Welcome,1695993811,1,0,0
6aqdl09i,3,i8rightg,2,pilot3,Consent,1695993816,1,0,0
6aqdl09i,3,i8rightg,3,pilot3,Instructions,1695993939,1,0,0
6aqdl09i,3,i8rightg,4,pilot3,UnderstandingQuestions,1695993998,1,0,0
6aqdl09i,3,i8rightg,5,pilot3,TransitionDemandElicitation0,1695993999,1,0,0
6aqdl09i,1,p1ep1wgv,6,pilot3,TaskActual,1695994084,1,0,0
6aqdl09i,1,p1ep1wgv,7,pilot3,TransitionDemandElicitation,1695994094,1,0,0
6aqdl09i,1,p1ep1wgv,8,pilot3,Diagnostic,1695994138,1,0,0
6aqdl09i,1,p1ep1wgv,9,pilot3,InstructionsPart2,1695994186,1,0,0
6aqdl09i,1,p1ep1wgv,10,pilot3,UnderstandingQuestionsPart2,1695994198,1,0,0
6aqdl09i,1,p1ep1wgv,11,pilot3,TransitionDemandElicitation3,1695994209,1,0,0
6aqdl09i,1,p1ep1wgv,12,pilot3,DemandElicitation,1695994232,1,0,0
6aqdl09i,1,p1ep1wgv,13,pilot3,TransitionUnincentivized,1695994291,1,0,0
6aqdl09i,1,p1ep1wgv,14,pilot3,UnincentivizedInstructions,1695994301,1,0,0
6aqdl09i,1,p1ep1wgv,15,pilot3,Unincentivized1,1695994330,1,0,0
6aqdl09i,1,p1ep1wgv,16,pilot3,Unincentivized2,1695994353,1,0,0
6aqdl09i,1,p1ep1wgv,17,pilot3,Unincentivized3,1695994372,1,0,0
6aqdl09i,1,p1ep1wgv,18,pilot3,Results,1695994381,1,0,0
6aqdl09i,1,p1ep1wgv,21,pilot3,Feedback,1695994400,1,0,0
6aqdl09i,1,p1ep1wgv,22,pilot3,Finished,1695994404,1,0,0
6aqdl09i,4,061b6151,0,,InitializeParticipant,1695994524,1,0,0
6aqdl09i,4,061b6151,1,pilot3,Welcome,1695994541,1,0,0
6aqdl09i,4,061b6151,2,pilot3,Consent,1695994555,1,0,0
6aqdl09i,4,061b6151,3,pilot3,Instructions,1695994701,1,0,0
6aqdl09i,3,i8rightg,6,pilot3,TaskActual,1695994706,1,0,0
6aqdl09i,3,i8rightg,7,pilot3,TransitionDemandElicitation,1695994710,1,0,0
6aqdl09i,3,i8rightg,8,pilot3,Diagnostic,1695994724,1,0,0
6aqdl09i,4,061b6151,4,pilot3,UnderstandingQuestions,1695994756,1,0,0
6aqdl09i,4,061b6151,5,pilot3,TransitionDemandElicitation0,1695994759,1,0,0
6aqdl09i,5,ssy9dbvx,0,,InitializeParticipant,1695994804,1,0,0
6aqdl09i,5,ssy9dbvx,1,pilot3,Welcome,1695994810,1,0,0
6aqdl09i,5,ssy9dbvx,2,pilot3,Consent,1695994814,1,0,0
6aqdl09i,5,ssy9dbvx,3,pilot3,Instructions,1695994901,1,0,0
6aqdl09i,6,jn3b81ff,0,,InitializeParticipant,1695994923,1,0,0
6aqdl09i,6,jn3b81ff,1,pilot3,Welcome,1695994948,1,0,0
6aqdl09i,5,ssy9dbvx,4,pilot3,UnderstandingQuestions,1695994952,1,0,0
6aqdl09i,5,ssy9dbvx,5,pilot3,TransitionDemandElicitation0,1695994954,1,0,0
6aqdl09i,6,jn3b81ff,2,pilot3,Consent,1695994954,1,0,0
6aqdl09i,4,061b6151,6,pilot3,TaskActual,1695994973,1,0,0
6aqdl09i,7,v51d71zq,0,,InitializeParticipant,1695994985,1,0,0
6aqdl09i,4,061b6151,7,pilot3,TransitionDemandElicitation,1695994988,1,0,0
6aqdl09i,7,v51d71zq,1,pilot3,Welcome,1695995001,1,0,0
6aqdl09i,7,v51d71zq,2,pilot3,Consent,1695995040,1,0,0
6aqdl09i,4,061b6151,8,pilot3,Diagnostic,1695995070,1,0,0
